,Forearms,Biceps,Triceps,Deltoids,Front/Anterior Delt,Rear/Posterior Delt,Side/Lateral Delt,Neck,Traps,Upper Traps,Mid Traps,Lower Traps,Upper Back,Middle Back,Lower Back,Lats,Pectorals,Obliques,Abs,Glutes,Adductors,Abductors,Quads,Hamstrings,Shins,Calves
Incline Barbell Bench Press,0.0,0.0,0.3520000000000001,0.288,0.2880000000000001,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Incline Dumbbell Bench Press,0.0,0.0,0.3520000000000001,0.288,0.2880000000000001,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Decline Bench Press,0.0,0.0,0.3520000000000001,0.288,0.2880000000000001,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Close-Grip Bench Press,0.0,0.0,0.3520000000000001,0.288,0.2880000000000001,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Floor Press,0.0,0.0,0.3520000000000001,0.288,0.2880000000000001,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Board Press / Pin Press,0.0,0.0,0.3520000000000001,0.288,0.2880000000000001,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Spoto Press,0.0,0.0,0.3520000000000001,0.288,0.2880000000000001,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Weighted Push-Up,0.0,0.0,0.3520000000000001,0.288,0.2880000000000001,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Parallel Bar Dips (chest-focused),0.0,0.0,0.3520000000000001,0.288,0.2880000000000001,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Parallel Bar Dips (tricep-focused),0.0,0.0,0.3520000000000001,0.288,0.2880000000000001,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Ring Dips,0.0,0.0,0.3520000000000001,0.288,0.2880000000000001,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Standing Barbell Overhead Press,0.0,0.0,0.3520000000000001,0.0,0.0,0.0,0.288,0.0,0.0,0.36,0.2880000000000001,0.2880000000000001,0.0,0.0,0.0,0.0,0.0,0.0,0.2880000000000001,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Standing Dumbbell Overhead Press,0.0,0.0,0.3520000000000001,0.0,0.0,0.0,0.288,0.0,0.0,0.36,0.2880000000000001,0.2880000000000001,0.0,0.0,0.0,0.0,0.0,0.0,0.2880000000000001,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Seated Barbell Overhead Press,0.0,0.0,0.3520000000000001,0.0,0.0,0.0,0.288,0.0,0.0,0.36,0.2880000000000001,0.2880000000000001,0.0,0.0,0.0,0.0,0.0,0.0,0.2880000000000001,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Seated Dumbbell Overhead Press,0.0,0.0,0.3520000000000001,0.0,0.0,0.0,0.288,0.0,0.0,0.36,0.2880000000000001,0.2880000000000001,0.0,0.0,0.0,0.0,0.0,0.0,0.2880000000000001,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Push Press,0.0,0.0,0.3520000000000001,0.0,0.0,0.0,0.288,0.0,0.0,0.36,0.2880000000000001,0.2880000000000001,0.0,0.0,0.0,0.0,0.0,0.0,0.2880000000000001,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Push Jerk,0.0,0.0,0.3520000000000001,0.0,0.0,0.0,0.288,0.0,0.0,0.36,0.2880000000000001,0.2880000000000001,0.0,0.0,0.0,0.0,0.0,0.0,0.2880000000000001,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Split Jerk,0.0,0.0,0.3520000000000001,0.0,0.0,0.0,0.288,0.0,0.0,0.36,0.2880000000000001,0.2880000000000001,0.0,0.0,0.0,0.0,0.0,0.0,0.2880000000000001,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Handstand Push-Up,0.0,0.0,0.3520000000000001,0.0,0.0,0.0,0.288,0.0,0.0,0.36,0.2880000000000001,0.2880000000000001,0.0,0.0,0.0,0.0,0.0,0.0,0.2880000000000001,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Viking Press,0.0,0.0,0.3520000000000001,0.0,0.0,0.0,0.288,0.0,0.0,0.36,0.2880000000000001,0.2880000000000001,0.0,0.0,0.0,0.0,0.0,0.0,0.2880000000000001,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Bent-Over Barbell Row (overhand),0.432,0.32000000000000006,0.0,0.0,0.0,0.22400000000000003,0.0,0.0,0.0,0.0,0.32000000000000006,0.324,0.0,0.0,0.324,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Bent-Over Barbell Row (underhand),0.432,0.32000000000000006,0.0,0.0,0.0,0.22400000000000003,0.0,0.0,0.0,0.0,0.32000000000000006,0.324,0.0,0.0,0.324,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Pendlay Row,0.432,0.32000000000000006,0.0,0.0,0.0,0.22400000000000003,0.0,0.0,0.0,0.0,0.32000000000000006,0.324,0.0,0.0,0.324,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Yates Row,0.432,0.32000000000000006,0.0,0.0,0.0,0.22400000000000003,0.0,0.0,0.0,0.0,0.32000000000000006,0.324,0.0,0.0,0.324,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Chest-Supported Row,0.432,0.32000000000000006,0.0,0.0,0.0,0.22400000000000003,0.0,0.0,0.0,0.0,0.32000000000000006,0.324,0.0,0.0,0.324,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
T-Bar Row,0.432,0.32000000000000006,0.0,0.0,0.0,0.22400000000000003,0.0,0.0,0.0,0.0,0.32000000000000006,0.324,0.0,0.0,0.324,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Meadows Row,0.432,0.32000000000000006,0.0,0.0,0.0,0.22400000000000003,0.0,0.0,0.0,0.0,0.32000000000000006,0.324,0.0,0.0,0.324,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Seated Cable Row,0.432,0.32000000000000006,0.0,0.0,0.0,0.22400000000000003,0.0,0.0,0.0,0.0,0.32000000000000006,0.324,0.0,0.0,0.324,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Dumbbell Row,0.432,0.32000000000000006,0.0,0.0,0.0,0.22400000000000003,0.0,0.0,0.0,0.0,0.32000000000000006,0.324,0.0,0.0,0.324,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Inverted Row,0.432,0.32000000000000006,0.0,0.0,0.0,0.22400000000000003,0.0,0.0,0.0,0.0,0.32000000000000006,0.324,0.0,0.0,0.324,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Pull-Up (overhand grip),0.432,0.22000000000000003,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.288,0.22400000000000003,0.0,0.0,0.0,0.0,0.0,0.0,0.25600000000000006,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Chin-Up (underhand grip),0.432,0.22000000000000003,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.288,0.22400000000000003,0.0,0.0,0.0,0.0,0.0,0.0,0.25600000000000006,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Neutral-Grip Pull-Up,0.432,0.22000000000000003,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.288,0.22400000000000003,0.0,0.0,0.0,0.0,0.0,0.0,0.25600000000000006,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Weighted Pull-Up,0.432,0.22000000000000003,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.288,0.22400000000000003,0.0,0.0,0.0,0.0,0.0,0.0,0.25600000000000006,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Weighted Chin-Up,0.432,0.22000000000000003,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.288,0.22400000000000003,0.0,0.0,0.0,0.0,0.0,0.0,0.25600000000000006,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Commando Pull-Up,0.432,0.22000000000000003,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.288,0.22400000000000003,0.0,0.0,0.0,0.0,0.0,0.0,0.25600000000000006,0.0,0.0,0.0,0.0,0.0,0.0,0.0
L-Sit Pull-Up,0.432,0.22000000000000003,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.288,0.22400000000000003,0.0,0.0,0.0,0.0,0.0,0.0,0.25600000000000006,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Muscle-Up,0.432,0.22000000000000003,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.288,0.22400000000000003,0.0,0.0,0.0,0.0,0.0,0.0,0.25600000000000006,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Power Clean,0.38400000000000006,0.0,0.0,0.0,0.0,0.0,0.0,0.25600000000000006,0.0,0.26,0.36,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.324,0.0,0.0,0.0,0.0,0.0,0.216,0.216
Hang Power Clean,0.38400000000000006,0.0,0.0,0.0,0.0,0.0,0.0,0.25600000000000006,0.0,0.26,0.36,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.324,0.0,0.0,0.0,0.0,0.0,0.216,0.216
Clean Pull,0.38400000000000006,0.0,0.0,0.0,0.0,0.0,0.0,0.25600000000000006,0.0,0.26,0.36,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.324,0.0,0.0,0.0,0.0,0.0,0.216,0.216
Clean and Jerk,0.38400000000000006,0.0,0.0,0.0,0.0,0.0,0.0,0.25600000000000006,0.0,0.26,0.36,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.324,0.0,0.0,0.0,0.0,0.0,0.216,0.216
Power Snatch,0.38400000000000006,0.0,0.0,0.0,0.0,0.0,0.0,0.25600000000000006,0.0,0.26,0.36,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.324,0.0,0.0,0.0,0.0,0.0,0.216,0.216
Hang Power Snatch,0.38400000000000006,0.0,0.0,0.0,0.0,0.0,0.0,0.25600000000000006,0.0,0.26,0.36,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.324,0.0,0.0,0.0,0.0,0.0,0.216,0.216
Snatch Pull,0.38400000000000006,0.0,0.0,0.0,0.0,0.0,0.0,0.25600000000000006,0.0,0.26,0.36,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.324,0.0,0.0,0.0,0.0,0.0,0.216,0.216
Clean High Pull,0.38400000000000006,0.0,0.0,0.0,0.0,0.0,0.0,0.25600000000000006,0.0,0.26,0.36,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.324,0.0,0.0,0.0,0.0,0.0,0.216,0.216
Barbell Complex,0.38400000000000006,0.0,0.0,0.0,0.0,0.0,0.0,0.25600000000000006,0.0,0.26,0.36,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.324,0.0,0.0,0.0,0.0,0.0,0.216,0.216
Thruster,0.38400000000000006,0.0,0.0,0.0,0.0,0.0,0.0,0.25600000000000006,0.0,0.26,0.36,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.324,0.0,0.0,0.0,0.0,0.0,0.216,0.216
Devil’s Press,0.38400000000000006,0.0,0.0,0.0,0.0,0.0,0.0,0.25600000000000006,0.0,0.26,0.36,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.324,0.0,0.0,0.0,0.0,0.0,0.216,0.216
Farmer’s Walk,0.30000000000000004,0.0,0.0,0.0,0.0,0.0,0.0,0.324,0.0,0.26,0.32000000000000006,0.0,0.0,0.0,0.0,0.0,0.0,0.3520000000000001,0.3520000000000001,0.0,0.0,0.0,0.0,0.0,0.16000000000000003,0.288
Suitcase Carry,0.30000000000000004,0.0,0.0,0.0,0.0,0.0,0.0,0.324,0.0,0.26,0.32000000000000006,0.0,0.0,0.0,0.0,0.0,0.0,0.3520000000000001,0.3520000000000001,0.0,0.0,0.0,0.0,0.0,0.16000000000000003,0.288
Overhead Carry,0.30000000000000004,0.0,0.0,0.0,0.0,0.0,0.0,0.324,0.0,0.26,0.32000000000000006,0.0,0.0,0.0,0.0,0.0,0.0,0.3520000000000001,0.3520000000000001,0.0,0.0,0.0,0.0,0.0,0.16000000000000003,0.288
Zercher Carry,0.30000000000000004,0.0,0.0,0.0,0.0,0.0,0.0,0.324,0.0,0.26,0.32000000000000006,0.0,0.0,0.0,0.0,0.0,0.0,0.3520000000000001,0.3520000000000001,0.0,0.0,0.0,0.0,0.0,0.16000000000000003,0.288
Yoke Walk,0.30000000000000004,0.0,0.0,0.0,0.0,0.0,0.0,0.324,0.0,0.26,0.32000000000000006,0.0,0.0,0.0,0.0,0.0,0.0,0.3520000000000001,0.3520000000000001,0.0,0.0,0.0,0.0,0.0,0.16000000000000003,0.288
Sandbag Carry,0.30000000000000004,0.0,0.0,0.0,0.0,0.0,0.0,0.324,0.0,0.26,0.32000000000000006,0.0,0.0,0.0,0.0,0.0,0.0,0.3520000000000001,0.3520000000000001,0.0,0.0,0.0,0.0,0.0,0.16000000000000003,0.288
Sled Push,0.30000000000000004,0.0,0.0,0.0,0.0,0.0,0.0,0.324,0.0,0.26,0.32000000000000006,0.0,0.0,0.0,0.0,0.0,0.0,0.3520000000000001,0.3520000000000001,0.0,0.0,0.0,0.0,0.0,0.16000000000000003,0.288
Sled Pull,0.30000000000000004,0.0,0.0,0.0,0.0,0.0,0.0,0.324,0.0,0.26,0.32000000000000006,0.0,0.0,0.0,0.0,0.0,0.0,0.3520000000000001,0.3520000000000001,0.0,0.0,0.0,0.0,0.0,0.16000000000000003,0.288
Tire Flip,0.30000000000000004,0.0,0.0,0.0,0.0,0.0,0.0,0.324,0.0,0.26,0.32000000000000006,0.0,0.0,0.0,0.0,0.0,0.0,0.3520000000000001,0.3520000000000001,0.0,0.0,0.0,0.0,0.0,0.16000000000000003,0.288
